Recensement agricole 2020; ; 
Référentiel géographique : France  par Commune 2020; ; 
Code;Libellé;SAU moyenne en 2020;SAU moyenne en 2020 - estimation (*=oui)
38474;Sassenage;16.9;
38475;Satolas-et-Bonce;86.8;
38476;Savas-Mépin;56.2;
38478;Séchilienne;67;
38479;Porte-des-Bonnevaux;46.5;
38480;Septème;40.4;
38481;Sérézin-de-la-Tour;53.3;
38483;Sermérieu;59.4;
38484;Serpaize;78.3;
38485;Seyssinet-Pariset;2;
38486;Seyssins;0.4;
38487;Seyssuel;52.7;
38488;Siccieu-Saint-Julien-et-Carisieu;129.1;
38489;Siévoz;127.9;
38490;Sillans;84;
38492;Sinard;78.1;
38494;Soleymieu;73.6;
38495;La Sône;19.1;
38496;Sonnay;72;
38497;Sousville;158.3;
38498;Succieu;38.9;
38499;Susville;35.3;
38500;Têche;19;
38501;Tencin;31.8;
38503;La Terrasse;17;
38504;Theys;35.9;
38505;Thodure;70.7;
38507;Tignieu-Jameyzieu;97.7;
38508;Torchefelon;39.8;
38509;La Tour-du-Pin;59.9;*
38511;Le Touvet;12.7;
38512;Tramolé;68.3;
38513;Treffort;23.5;
38514;Tréminis;156.2;
38515;Trept;96.5;
38516;La Tronche;N/A - division par 0;
38517;Tullins;28.1;
38518;Valbonnais;52.8;
38519;Valencin;31.8;
38520;Valencogne;38.2;
38521;La Valette;128.7;
38522;Valjouffrey;85.1;
38523;Varacieux;22.5;
38524;Varces-Allières-et-Risset;50.9;
38525;Vasselin;72.4;
38526;Vatilieu;35.3;
38527;Vaujany;83.6;
38528;Vaulnaveys-le-Bas;25.3;
38529;Vaulnaveys-le-Haut;26.8;
38530;Vaulx-Milieu;52.6;
38531;Velanne;42.1;*
38532;Vénérieu;91.2;
38533;Venon;52.6;
38535;Vernas;92.2;
38536;Vernioz;99.2;
38537;La Verpillière;295.9;
38538;Le Versoud;19.3;
38539;Vertrieu;56.1;*
38540;Veurey-Voroize;14.6;
38542;Veyssilieu;56;
38543;Vézeronce-Curtin;54.1;
38544;Vienne;23.5;
38545;Vif;68.4;
38546;Vignieu;26.3;
38547;Villard-Bonnot;42.4;
38548;Villard-de-Lans;57.6;
38549;Villard-Notre-Dame;N/A - division par 0;
38550;Villard-Reculas;48;
38551;Villard-Reymond;0.4;
38552;Villard-Saint-Christophe;98.6;
38553;Villefontaine;1.4;
38554;Villemoirieu;118.5;
38555;Villeneuve-de-Marc;37;
38556;Ville-sous-Anjou;48.5;
38557;Villette-d'Anthon;119.9;
38558;Villette-de-Vienne;63.9;
38559;Vinay;22.8;
38560;Val-de-Virieu;85.1;
38561;Viriville;62.9;
38562;Vizille;27.3;
38563;Voiron;34.9;
38564;Voissant;33.6;
38565;Voreppe;22.5;
38566;Vourey;26.6;
38567;Chamrousse;N/A - division par 0;
39001;Abergement-la-Ronce;125.9;
39002;Abergement-le-Grand;7.8;
39003;Abergement-le-Petit;6.4;
39004;Abergement-lès-Thésy;128.3;
39006;Aiglepierre;57.6;
39007;Alièze;123.3;
39008;Amange;155.3;
39009;Andelot-en-Montagne;90.1;
39010;Andelot-Morval;419.8;
39011;Annoire;109.8;
39013;Arbois;16.8;
39014;Archelange;185.7;
39015;Ardon;77.2;
39016;Arinthod;99.4;
39017;Arlay;87.5;
39018;Aromas;107;
39019;Les Arsures;5.1;
39020;Arsure-Arsurette;158.4;
39021;La Chailleuse;71.1;
39022;Asnans-Beauvoisin;119.6;
39024;Audelange;55;
39025;Augea;142.2;
39026;Augerans;14.5;
39027;Augisey;45;
39028;Aumont;47.6;
39029;Aumur;104.4;
39030;Authume;130.1;
39031;Auxange;148.8;
39032;Avignon-lès-Saint-Claude;N/A - division par 0;
39034;Balaiseaux;53.6;
39035;Balanod;176;
39037;Bans;93.3;*
39038;Barésia-sur-l'Ain;157.6;
39039;La Barre;182.2;
39040;Barretaine;110.7;
39041;Baume-les-Messieurs;70.6;*
39042;Baverans;67.3;
39043;Beaufort-Orbagna;56.7;
39045;Beffia;204.5;
39046;Bellecombe;157.6;
39047;Bellefontaine;101.9;
39048;Belmont;140.9;*
39049;Bersaillin;116.2;
39050;Besain;137.7;
39051;Biarne;152.2;
39052;Bief-des-Maisons;133.3;
39053;Bief-du-Fourg;68.7;
39054;Biefmorin;234.3;
39055;Billecul;138.6;
39056;Bletterans;72.5;
39057;Blois-sur-Seille;11.8;
39058;Blye;167.6;
39059;Bois-d'Amont;39.9;
39060;Bois-de-Gand;N/A - division par 0;
39061;Boissia;112.9;
39062;La Boissière;204;
39063;Bonlieu;89.4;
39065;Bonnefontaine;81.8;
39066;Bornay;118.9;
39068;Les Bouchoux;71.8;
39070;Bourg-de-Sirod;91;
39072;Bracon;84.8;
39073;Brainans;34.6;
39074;Brans;87.9;
39076;La Bretenière;70.8;
39077;Bretenières;18.3;
39078;Brevans;102.3;
39079;Briod;87.1;
39080;Broissia;113.7;
39081;Buvilly;56.3;
39083;Censeau;114;
39084;Cernans;67.9;
39085;Cerniébaud;88.6;
39086;Cernon;76.5;
39088;Cesancey;5.9;
39090;Chaînée-des-Coupis;124.5;
39091;Les Chalesmes;113.8;
39092;Chambéria;188.7;
39093;Chamblay;78.2;
39094;Chamole;137.7;
39095;Champagne-sur-Loue;50.5;
39096;Champagney;168.9;
39097;Champagnole;69.8;
39099;Champdivers;147.2;
39100;Champrougier;8.7;
39101;Champvans;118.8;
39102;Chancia;N/A - division par 0;
39103;La Chapelle-sur-Furieuse;35.6;
39104;Chapelle-Voland;69.2;
39105;Chapois;98.5;
39106;Charchilla;118.4;
39107;Charcier;95.2;
39108;Charency;85.8;
39109;Charézier;150;
39110;La Charme;N/A - division par 0;
39111;Charnod;119.8;
39112;La Chassagne;2.4;
39114;Château-Chalon;32.1;
39116;La Châtelaine;178.3;
39117;Chatelay;0.6;
39118;Châtel-de-Joux;N/A - division par 0;
39119;Le Chateley;20.6;
39120;Châtelneuf;174;
39121;Châtenois;133.7;
39122;Châtillon;203.8;
39124;Chaumergy;5.1;*
39126;La Chaumusse;186.5;
39127;Chaussenans;91.3;
39128;Chaussin;77.9;
39129;Chaux-des-Crotenay;71.1;
39130;Nanchez;143.1;
39131;La Chaux-du-Dombief;66.1;
39132;La Chaux-en-Bresse;N/A - division par 0;
39133;Chaux-Champagny;108;
39134;Chavéria;131.2;
39136;Chemenot;0.3;
39137;Saint-Hymetière-sur-Valouse;147.7;
39138;Chemin;70.7;
39139;Chêne-Bernard;123.5;
39140;Chêne-Sec;6.7;
39141;Chevigny;4.5;*
39142;Chevreaux;90.9;
39143;Chevrotaine;N/A - division par 0;
39145;Chille;19.7;
39146;Chilly-le-Vignoble;155.1;
39147;Chilly-sur-Salins;123.3;
39149;Chissey-sur-Loue;46.1;
39150;Choisey;178.9;
39151;Choux;207;
39153;Cize;7.1;
39154;Clairvaux-les-Lacs;7.7;
39155;Clucy;95.1;
39156;Cogna;180.5;
39157;Coiserette;N/A - division par 0;
39159;Colonne;110.9;
39160;Commenailles;88.3;
39162;Condamine;122;
39163;Condes;33.2;
39164;Conliège;192.3;
39165;Conte;59.7;
39166;Cornod;200.2;
39167;Cosges;179.2;
39168;Courbette;122.1;
39169;Courbouzon;2.9;
39170;Courlans;73.5;*
39171;Courlaoux;52.6;
39172;Courtefontaine;79.9;
39173;Cousance;109.9;
39174;Coyrière;N/A - division par 0;
39175;Coyron;30.6;
39176;Cramans;38.9;
39177;Hauteroche;86.1;
39178;Crans;190;
39179;Crenans;134.5;
39180;Cressia;103;
39182;Crissey;145.1;
39183;Crotenay;67.7;
39184;Les Crozets;N/A - division par 0;
39185;Cuisia;147;
39187;Cuvier;95.5;
39188;Dammartin-Marpain;197.7;
39189;Damparis;N/A - division par 0;
39190;Dampierre;55.2;
39191;Darbonnay;71.1;
39192;Denezières;230.2;
39193;Le Deschaux;54.3;
39194;Desnes;127.6;
39196;Les Deux-Fays;71;
39197;Digna;79;
39198;Dole;49.9;
39199;Domblans;30.2;
39200;Dompierre-sur-Mont;85.1;
39201;Doucier;107.1;
39202;Dournon;91.6;
39203;Doye;126.5;
39204;Dramelay;176.5;
39205;Éclans-Nenon;86.6;
39206;Écleux;83.5;
39207;Écrille;N/A - division par 0;
39208;Entre-deux-Monts;146.2;
39209;Val-d'Épy;97.3;
39210;Équevillon;N/A - division par 0;
39211;Les Essards-Taignevaux;77.8;
39214;Esserval-Tartre;114.3;
39216;Étival;127.7;
39217;L'Étoile;6.7;
39218;Étrepigney;130;
39219;Évans;62.9;
39220;Falletans;271.1;
39221;La Favière;58.3;
39222;Fay-en-Montagne;146.2;
39223;La Ferté;171.1;
39225;Le Fied;89.3;
39227;Foncine-le-Bas;418.4;
39228;Foncine-le-Haut;87.3;
39229;Fontainebrux;24.5;
39230;Fontenu;114.4;
39232;Fort-du-Plasne;102.8;
39233;Foucherans;158.7;
39234;Foulenay;37.3;
39235;Fraisans;N/A - division par 0;
39236;Francheville;93.9;*
39237;Fraroz;93.9;
39238;Frasne-les-Meulières;184.5;
39239;La Frasnée;N/A - division par 0;
39240;Le Frasnois;61.1;
39241;Frébuans;1.1;
39244;Frontenay;67.9;
39245;Gatey;112.8;
39246;Gendrey;103.1;
39247;Genod;56.2;
39248;Geraise;88.9;
39249;Germigney;151.2;
39250;Geruge;168.3;
39251;Gevingey;22.9;
39252;Gevry;83.1;
39253;Gigny;117.9;
39254;Gillois;104.5;
39255;Gizia;140.3;
39258;Grande-Rivière Château;157.1;
39259;Grange-de-Vaivre;129.1;
39261;Graye-et-Charnay;110.4;
39262;Gredisans;89.1;
39263;Grozon;104.8;
39265;Hautecour;127.9;
39266;Les Hays;126.2;
39267;Ivory;121.8;
39268;Ivrey;107.6;
39269;Jeurre;N/A - division par 0;
39270;Jouhe;5.9;
39271;Lac-des-Rouges-Truites;148.3;
39272;Ladoye-sur-Seille;81.9;
39273;Montlainsia;118.5;
39274;Lajoux;108.9;
39275;Lamoura;192.2;
39277;Le Larderet;145.9;
39278;Largillay-Marsonnay;42.9;
39279;Larnaud;60.8;
39280;Larrivoire;168.1;
39281;Le Latet;67.7;
39282;La Latette;69.6;
39283;Lavancia-Epercy;115.1;
39284;Lavangeot;246.1;
39285;Lavans-lès-Dole;278.6;
39286;Lavans-lès-Saint-Claude;25;
39288;Lavigny;64.5;
39289;Lect;49.3;
39290;Valzin en Petite Montagne;99;
39291;Lemuy;60.7;
39292;Lent;91.6;*
39293;Leschères;43;
39295;Loisia;53.5;
39296;Lombard;3.6;
39297;Longchaumois;122.4;
39298;Longcochon;79.8;
39299;Longwy-sur-le-Doubs;104.9;
39300;Lons-le-Saunier;58.1;
39301;Loulle;99.2;
39302;Louvatange;69;
39304;Le Louverot;0.4;
39305;La Loye;183.2;
39306;Macornay;N/A - division par 0;
39307;Maisod;70.1;
39308;Malange;90.8;
39310;Mantry;44.8;
39312;Marigna-sur-Valouse;101.9;
39313;Marigny;162.7;
39314;Marnézia;2.9;
39315;Marnoz;46;
39317;La Marre;139.8;
39318;Martigna;6.4;
39319;Mathenay;5.6;
39320;Maynal;64.4;
39321;Menétru-le-Vignoble;18.6;
39322;Menétrux-en-Joux;76;
39323;Menotey;113.2;
39324;Mérona;146;
39325;Mesnay;15.5;
39326;Mesnois;110.6;
39327;Messia-sur-Sorne;N/A - division par 0;
39328;Meussia;108.3;
39329;Mièges;66.2;
39330;Miéry;118.5;
39331;Mignovillard;97.8;
39333;Moirans-en-Montagne;43.5;
39334;Moiron;1.7;
39335;Moissey;29.8;
39336;Molain;108.6;
39337;Molamboz;42.4;
39338;Molay;101.9;
39339;Chassal-Molinges;N/A - division par 0;
39342;Monay;121.6;
39343;Monnetay;64.6;
39344;Monnet-la-Ville;55.4;
39345;Monnières;N/A - division par 0;
39346;Montagna-le-Reconduit;34.2;
39348;Montaigu;14.4;
39349;Montain;42.2;
39350;Montbarrey;N/A - division par 0;
39351;Montcusel;95.2;
39352;Monteplain;153.4;
39353;Montfleur;118.5;
39354;Montholier;100.6;
39355;Montigny-lès-Arsures;18.5;
39356;Montigny-sur-l'Ain;229.6;
39359;Montmarlon;117.4;
39360;Montmirey-la-Ville;2.5;
39361;Montmirey-le-Château;117;
39362;Montmorot;96.7;
39363;Montrevel;210.2;
39364;Montrond;108.6;
39365;Mont-sous-Vaudrey;35.9;
39366;Mont-sur-Monnet;163;
39367;Morbier;161;
39368;Hauts de Bienne;1.8;
39370;Mouchard;31.6;
39372;Mournans-Charbonny;80.2;
39373;Les Moussières;108.5;
39375;Moutonne;158.2;
39376;Moutoux;34;
39377;Mutigney;87.2;
39378;Les Trois-Châteaux;60.9;
39379;Nance;54.6;
39380;Nancuise;2.8;
39381;Les Nans;70.7;
39385;Neublans-Abergement;131.6;
39386;Neuvilley;N/A - division par 0;
39387;Nevy-lès-Dole;82.3;
39388;Nevy-sur-Seille;28;
39389;Ney;109.6;
39390;Nogna;114.1;
39391;Nozeroy;87;
39392;Offlanges;73.8;
39393;Onglières;82;
39394;Onoz;164.6;
39396;Orchamps;71.6;
39397;Orgelet;121.4;
39398;Ougney;152.3;
39399;Ounans;174.5;
39400;Our;235.2;
39401;Oussières;237.3;
39402;Pagney;19.4;
39403;Pagnoz;29;
39404;Pannessières;105.4;
39405;Parcey;178.3;
39406;Le Pasquier;166.2;
39407;Passenans;3.3;
39408;Patornay;87.6;
39409;Peintre;109.2;
39411;Perrigny;1.8;
39412;Peseux;100;
39413;La Pesse;76.2;
39415;Petit-Noir;77.9;
39418;Picarreau;91;
39419;Pillemoine;84.5;
39420;Pimorin;89.9;
39421;Le Pin;2.4;
39422;Plainoiseau;13.1;*
39423;Plaisia;17.6;
39424;Les Planches-en-Montagne;132;
39425;Les Planches-près-Arbois;0.4;
39426;Plasne;48.4;
39427;Plénise;175.6;
39428;Plénisette;61.2;
39429;Pleure;62.6;
39430;Plumont;59.4;
39431;Poids-de-Fiole;104.4;
39432;Pointre;157.4;
39434;Poligny;17.8;
39435;Pont-de-Poitte;114.3;
39436;Pont-d'Héry;59.5;
39437;Pont-du-Navoy;229.1;
39439;Port-Lesney;20.3;
39441;Prémanon;49.7;
39443;Présilly;90;
39444;Pretin;13.8;
39445;Publy;93.5;
39446;Pupillin;13.2;*
39447;Quintigny;40;
39448;Rahon;139.4;
39449;Rainans;30.7;
39451;Ranchot;57.7;
39452;Rans;80.5;
39453;Ravilloles;0;
39454;Recanoz;4;
39455;Reithouse;N/A - division par 0;
39456;Relans;58.6;
39457;Les Repôts;129.5;
39458;Revigny;0;
39460;La Rixouse;81.8;
39461;Rix;99.6;
39462;Rochefort-sur-Nenon;155;
39463;Rogna;84.5;
39464;Romain;68.9;
39465;Romange;129.8;
39466;Rosay;92.3;
39467;Rotalier;5.6;
39468;Rothonay;178.3;
39469;Rouffange;88.1;
39470;Les Rousses;235.7;
39471;Ruffey-sur-Seille;121.5;
39472;Rye;N/A - division par 0;
39473;Saffloz;166.5;
39474;Sainte-Agnès;38;
39475;Saint-Amour;53.1;
39476;Saint-Aubin;100.6;
39477;Saint-Baraing;99.1;
39478;Saint-Claude;120.5;
39479;Saint-Cyr-Montmalin;31.4;
39480;Saint-Didier;32.1;
39481;Saint-Germain-en-Montagne;55.8;
39485;Val Suran;110.1;
39486;Saint-Lamain;99.5;
39487;Saint-Laurent-en-Grandvaux;112.4;
39489;Saint-Lothain;45.9;
39490;Saint-Loup;115.4;
39491;Coteaux du Lizon;54.5;
39492;Saint-Maur;46.6;
39493;Saint-Maurice-Crillat;93.3;
39494;Saint-Pierre;159.5;
39495;Saint-Thiébaud;67;
39497;Saizenay;108.1;
39498;Salans;55.1;
39499;Saligney;N/A - division par 0;
39500;Salins-les-Bains;23.1;
39501;Sampans;196;
39502;Santans;156.4;
39503;Sapois;N/A - division par 0;
39504;Sarrogna;194.3;
39505;Saugeot;154.2;
39507;Séligney;N/A - division par 0;
39508;Sellières;53.9;
39510;Septmoncel les Molunes;97.6;
39511;Sergenaux;11.6;
39512;Sergenon;54;
39513;Sermange;125.4;
39514;Serre-les-Moulières;76.7;
39517;Sirod;104.3;
39518;Songeson;122.5;
39519;Soucia;176.3;
39520;Souvans;83.3;
39522;Supt;54.8;
39523;Syam;138.1;
39525;Tassenières;72.9;
39526;Tavaux;195.7;
39527;Taxenne;315.3;
39528;Thervay;331.7;
39529;Thésy;54.7;
39530;Thoirette-Coisia;99.4;*
39531;Thoiria;173.3;
39532;Thoissia;194.7;
39533;Toulouse-le-Château;34.5;
39534;La Tour-du-Meix;150.7;
39535;Tourmont;84.3;
39537;Trenal;40;
39538;Uxelles;160.4;
39539;Vadans;48.8;
39540;Valempoulières;137;
39543;Vannoz;170.5;
39545;Le Vaudioux;73.9;
39546;Vaudrey;108.9;
39547;Vaux-lès-Saint-Claude;0.5;
39548;Vaux-sur-Poligny;119.8;
39550;Verges;168.4;
39551;Véria;66.9;
39552;Vernantois;6;
39553;Le Vernois;11.9;
39554;Vers-en-Montagne;118.9;
39555;Vers-sous-Sellières;64.4;
39556;Vertamboz;3;
39557;Vescles;153;
39558;Vevy;108.3;
39559;La Vieille-Loye;108.3;
39560;Villard-Saint-Sauveur;N/A - division par 0;
39561;Villards-d'Héria;22.2;
39565;Villeneuve-d'Aval;62;
39567;Villeneuve-sous-Pymont;52.4;
39568;Villerserine;97.6;
39569;Villers-Farlay;55.1;
39570;Villers-les-Bois;69.4;
39571;Villers-Robert;57.4;
39572;Villette-lès-Arbois;19.6;*
39573;Villette-lès-Dole;62.2;
39574;Villevieux;150.1;
39575;Le Villey;108.4;
39576;Val-Sonnette;5.3;
39577;Vincent-Froideville;40.1;
39579;Viry;71.2;
39581;Vitreux;107.4;*
39582;Voiteur;39.2;
39583;Vosbles-Valfin;156.2;
39584;Vriange;114.4;*
39585;Vulvoz;N/A - division par 0;
39586;Aresches;119;
40001;Aire-sur-l'Adour;49.5;
40002;Amou;42.4;
40003;Angoumé;64.6;
40004;Angresse;30.5;
40005;Arboucave;39.4;
40006;Arengosse;64.3;
40007;Argelos;44.8;*
40008;Argelouse;72.3;
40011;Arsague;46.4;
40012;Artassenx;70.7;
40013;Arthez-d'Armagnac;82.1;
40014;Arue;38.6;
40015;Arx;119.9;
40016;Aubagnan;49.8;
40017;Audignon;32.4;
40018;Audon;43.4;
40019;Aureilhan;N/A - division par 0;
40020;Aurice;25.2;
40021;Azur;58.7;
40022;Bahus-Soubiran;39.3;
40023;Baigts;26.3;
40024;Banos;31.7;
40025;Bascons;33.9;
40026;Bas-Mauco;109.1;
40027;Bassercles;27.8;
40028;Bastennes;39.5;
40029;Bats;41.5;
40030;Baudignan;175.7;
40031;Bégaar;35.1;
40032;Belhade;225.5;
40033;Bélis;33.8;
40034;Bélus;25;
40035;Bénesse-lès-Dax;42.8;
40036;Bénesse-Maremne;33.8;
40037;Benquet;49.5;
40038;Bergouey;42.3;
40039;Betbezer-d'Armagnac;47.8;
40040;Beylongue;61.5;
40041;Beyries;62.1;
40042;Biarrotte;23.5;
40043;Bias;N/A - division par 0;
40044;Biaudos;21.2;
40046;Biscarrosse;36.3;
40047;Bonnegarde;35.7;
40049;Bordères-et-Lamensans;36.4;
40050;Bostens;13.8;
40051;Bougue;17.4;
40052;Bourdalat;62;
40053;Bourriot-Bergonce;116.3;
40054;Brassempouy;35.2;
40055;Bretagne-de-Marsan;64.2;
40056;Brocas;66.2;
40057;Buanes;37.9;
40058;Cachen;16.4;
40059;Cagnotte;27.6;
40060;Callen;56.7;
40061;Campagne;51.2;
40062;Campet-et-Lamolère;40;
40063;Candresse;28.8;
40064;Canenx-et-Réaut;114.6;
40065;Capbreton;8.4;*
40066;Carcarès-Sainte-Croix;48.9;
40067;Carcen-Ponson;40.1;
40068;Cassen;24.5;
40069;Castaignos-Souslens;33.3;
40070;Castandet;62.5;
40071;Castelnau-Chalosse;35.7;
40072;Castelnau-Tursan;53.9;
40073;Castelner;31.9;
40074;Castel-Sarrazin;36.5;
40075;Castets;54.9;
40076;Cauna;55.7;
40077;Cauneille;22.7;
40078;Caupenne;22.5;
40079;Cazalis;52;
40080;Cazères-sur-l'Adour;57.9;
40081;Cère;N/A - division par 0;
40082;Classun;52.9;
40083;Clèdes;63;
40084;Clermont;36.3;
40085;Commensacq;223.3;
40086;Coudures;36.8;
40087;Créon-d'Armagnac;67.5;
40088;Dax;15.5;
40089;Doazit;50.7;
40090;Donzacq;44.7;
40091;Duhort-Bachen;36.9;
40092;Dumes;23.4;
40093;Escalans;86.4;
40094;Escource;71.6;
40095;Estibeaux;37.3;
40096;Estigarde;23.4;
40097;Eugénie-les-Bains;30.2;
40098;Eyres-Moncube;33.8;
40099;Fargues;59.6;
40100;Le Frêche;50;
40101;Gaas;37.3;
40102;Gabarret;78.7;
40103;Gaillères;67.9;
40104;Gamarde-les-Bains;30.2;
40105;Garein;86.5;
40106;Garrey;46.3;
40108;Gastes;N/A - division par 0;
40109;Gaujacq;36.4;
40110;Geaune;35.5;
40111;Geloux;105.4;
40112;Gibret;36.3;*
40113;Goos;25;
40114;Gourbera;44.5;
40115;Gousse;131.3;
40116;Gouts;26.5;
40117;Grenade-sur-l'Adour;61.1;
40118;Habas;40;
40119;Hagetmau;36;
40120;Hastingues;45.1;
40121;Hauriet;21.2;
40122;Haut-Mauco;45.9;
40123;Herm;56.5;
40124;Herré;158.9;
40125;Heugas;32.3;
40126;Hinx;21.5;
40127;Hontanx;46;
40128;Horsarrieu;53.4;
40129;Josse;36.9;
40130;Labastide-Chalosse;27.5;
40131;Labastide-d'Armagnac;56.5;
40132;Labatut;37.8;
40133;Labenne;0;
40134;Labouheyre;188.5;
40135;Labrit;86.3;
40136;Lacajunte;50.7;
40137;Lacquy;101.3;
40138;Lacrabe;36;
40139;Laglorieuse;21.3;*
40140;Lagrange;40.4;
40141;Lahosse;44.6;
40142;Laluque;36.9;
40143;Lamothe;68.2;
40144;Larbey;18.4;
40145;Larrivière-Saint-Savin;58.7;
40146;Latrille;33.1;
40147;Laurède;31.9;
40148;Lauret;30.9;
40149;Lencouacq;176.2;
40150;Léon;24.1;
40151;Lesgor;27.2;
40152;Lesperon;80;
40153;Le Leuy;40;
40154;Lévignacq;37.8;
40155;Linxe;23.4;
40156;Liposthey;127.8;
40157;Lit-et-Mixe;11.2;
40158;Losse;74.3;
40159;Louer;29.6;
40160;Lourquen;42.4;
40161;Lubbon;98.4;
40162;Lucbardez-et-Bargues;53.2;
40163;Lüe;74.8;
40164;Retjons;89.1;
40165;Luglon;130;
40166;Lussagnet;62.6;
40167;Luxey;265.7;
40168;Magescq;42.6;
40169;Maillas;58.8;
40170;Maillères;31.4;
40171;Mano;218.4;
40172;Mant;46.1;
40173;Marpaps;34.3;
40174;Mauries;53.8;
40175;Maurrin;58;
40176;Mauvezin-d'Armagnac;92.4;
40177;Maylis;52.4;
40178;Mazerolles;97.8;
40179;Mées;155.6;
40180;Meilhan;56.6;
40181;Messanges;7.9;
40182;Mézos;23.4;
40183;Mimbaste;32.1;
40184;Mimizan;82.8;*
40185;Miramont-Sensacq;46.2;
40186;Misson;35.3;
40187;Moliets-et-Maa;37.1;
40188;Momuy;49.4;
40189;Monget;48.9;
40190;Monségur;42.2;
40191;Montaut;34.4;
40192;Mont-de-Marsan;36;
40193;Montégut;17.6;
40194;Montfort-en-Chalosse;26.9;
40195;Montgaillard;51.5;
40196;Montsoué;35.5;
40197;Morcenx-la-Nouvelle;79.4;
40198;Morganx;42.7;
40199;Mouscardès;53;
40200;Moustey;23.8;
40201;Mugron;28;
40202;Narrosse;21.2;
40203;Nassiet;24.2;
40204;Nerbis;41.5;
40205;Nousse;25.6;
40206;Oeyregave;58.2;
40207;Oeyreluy;52.9;
40208;Onard;35.9;
40209;Ondres;25.1;
40210;Onesse-Laharie;159.7;
40211;Orist;40.9;
40212;Orthevielle;28.3;
40213;Orx;45;
40214;Ossages;27.6;
40215;Ousse-Suzan;59.3;
40216;Ozourt;42.5;
40217;Parentis-en-Born;21;
40218;Parleboscq;45;
40219;Payros-Cazautets;36.4;*
40220;Pécorade;47.1;
40221;Perquie;76.8;
40222;Pey;22.2;
40223;Peyre;35.5;*
40224;Peyrehorade;37.5;
40225;Philondenx;35.9;
40226;Pimbo;29.5;
40227;Pissos;142;
40228;Pomarez;27.1;
40229;Pontenx-les-Forges;1.6;*
40230;Pontonx-sur-l'Adour;33.8;
40231;Port-de-Lanne;34.7;
40232;Poudenx;35.3;
40233;Pouillon;34.4;
40234;Pouydesseaux;43.4;
40235;Poyanne;27;
40236;Poyartin;27.7;
40237;Préchacq-les-Bains;38.7;*
40238;Pujo-le-Plan;59.7;
40239;Puyol-Cazalet;51.4;
40240;Renung;49.5;
40242;Rimbez-et-Baudiets;56.7;
40243;Rion-des-Landes;54.2;
40244;Rivière-Saas-et-Gourby;29.3;
40245;Roquefort;3.4;
40246;Sabres;114.7;*
40247;Saint-Agnet;54.1;
40248;Saint-André-de-Seignanx;27.7;
40249;Saint-Aubin;25.5;
40250;Saint-Avit;40;
40251;Saint-Barthélemy;17.2;*
40252;Sainte-Colombe;45.1;
40253;Saint-Cricq-Chalosse;41.4;
40254;Saint-Cricq-du-Gave;25.7;
40255;Saint-Cricq-Villeneuve;79;
40256;Saint-Étienne-d'Orthe;36.1;
40257;Sainte-Eulalie-en-Born;0.6;
40258;Sainte-Foy;40.9;
40259;Saint-Gein;74.2;
40260;Saint-Geours-d'Auribat;11.3;
40261;Saint-Geours-de-Maremne;44.8;
40262;Saint-Gor;44.1;
40263;Saint-Jean-de-Lier;59.2;
40264;Saint-Jean-de-Marsacq;33.5;
40265;Saint-Julien-d'Armagnac;39.6;
40266;Saint-Julien-en-Born;41.4;
40267;Saint-Justin;31.7;
40268;Saint-Laurent-de-Gosse;21.8;
40269;Saint-Lon-les-Mines;36.6;
40270;Saint-Loubouer;60.5;
40271;Sainte-Marie-de-Gosse;27;
40272;Saint-Martin-de-Hinx;39.5;
40273;Saint-Martin-de-Seignanx;31.3;
40274;Saint-Martin-d'Oney;116;
40275;Saint-Maurice-sur-Adour;47.6;
40276;Saint-Michel-Escalus;24.4;
40277;Saint-Pandelon;28.9;
40278;Saint-Paul-en-Born;106.8;
40279;Saint-Paul-lès-Dax;55.5;
40280;Saint-Perdon;40.9;
40281;Saint-Pierre-du-Mont;35.9;
40282;Saint-Sever;48.2;
40283;Saint-Vincent-de-Paul;31.6;
40284;Saint-Vincent-de-Tyrosse;31.5;
40285;Saint-Yaguen;66.4;
40286;Samadet;41.7;
40287;Sanguinet;160.4;
40288;Sarbazan;4;
40289;Sarraziet;47.8;
40290;Sarron;23.4;
40291;Saubion;5.6;
40292;Saubrigues;38;
40293;Saubusse;36;
40294;Saugnac-et-Cambran;36.8;
40295;Saugnacq-et-Muret;205.6;
40296;Seignosse;N/A - division par 0;
40297;Le Sen;161.1;
40298;Serres-Gaston;25.4;
40299;Serreslous-et-Arribans;53.3;
40300;Seyresse;1.8;
40301;Siest;7.9;
40303;Solférino;157.2;
40304;Soorts-Hossegor;N/A - division par 0;
40305;Sorbets;50.9;
40306;Sorde-l'Abbaye;28;
40307;Sore;217.6;
40308;Sort-en-Chalosse;36.8;
40309;Souprosse;46.8;
40310;Soustons;44.3;
40311;Taller;91.3;
40312;Tarnos;13.7;
40313;Tartas;40.1;
40314;Tercis-les-Bains;45;
40315;Téthieu;45;
40316;Tilh;33.2;
40317;Tosse;30.8;
40318;Toulouzette;44.5;
40319;Trensacq;101.9;
40320;Uchacq-et-Parentis;81.6;
40321;Urgons;131.1;
40322;Uza;58.9;
40323;Vert;91.1;
40324;Vicq-d'Auribat;90;
40325;Vielle-Tursan;43.6;
40326;Vielle-Saint-Girons;81.1;
40327;Vielle-Soubiran;35.9;
40328;Vieux-Boucau-les-Bains;N/A - division par 0;
40329;Le Vignau;37.2;
40330;Villenave;54;
