Recensement agricole 2020; ; 
Référentiel géographique : France  par Commune 2020; ; 
Code;Libellé;SAU moyenne en 2020;SAU moyenne en 2020 - estimation (*=oui)
01339;Saint-Bernard;5.5;
01342;Sainte-Croix;74.2;
01343;Saint-Cyr-sur-Menthon;101.8;
01344;Saint-Denis-lès-Bourg;64.2;
01345;Saint-Denis-en-Bugey;N/A - division par 0;
01346;Saint-Didier-d'Aussiat;89.7;
01347;Saint-Didier-de-Formans;71.7;*
01348;Saint-Didier-sur-Chalaronne;58.4;
01349;Saint-Éloi;117.4;
01350;Saint-Étienne-du-Bois;61.5;
01351;Saint-Étienne-sur-Chalaronne;59.9;
01352;Saint-Étienne-sur-Reyssouze;76.5;
01353;Sainte-Euphémie;68;
01354;Saint-Genis-Pouilly;57.3;
01355;Saint-Genis-sur-Menthon;48.6;
01356;Saint-Georges-sur-Renon;44.9;
01357;Saint-Germain-de-Joux;N/A - division par 0;
01358;Saint-Germain-les-Paroisses;229.1;
01359;Saint-Germain-sur-Renon;60.7;
01360;Saint-Jean-de-Gonville;113.6;
01361;Saint-Jean-de-Niost;96.9;
01362;Saint-Jean-de-Thurigneux;75.8;
01363;Saint-Jean-le-Vieux;160.8;
01364;Saint-Jean-sur-Reyssouze;69.4;
01365;Saint-Jean-sur-Veyle;49.7;
01366;Sainte-Julie;134.7;
01367;Saint-Julien-sur-Reyssouze;107.8;
01368;Saint-Julien-sur-Veyle;37.4;
01369;Saint-Just;60.1;
01370;Saint-Laurent-sur-Saône;N/A - division par 0;
01371;Saint-Marcel;62.9;
01372;Saint-Martin-de-Bavel;150.5;
01373;Saint-Martin-du-Frêne;168.2;
01374;Saint-Martin-du-Mont;64.3;
01375;Saint-Martin-le-Châtel;71.1;
01376;Saint-Maurice-de-Beynost;74.2;
01378;Saint-Maurice-de-Gourdans;95.9;
01379;Saint-Maurice-de-Rémens;155.3;
01380;Saint-Nizier-le-Bouchoux;69.5;
01381;Saint-Nizier-le-Désert;73.4;
01382;Sainte-Olive;46.5;
01383;Saint-Paul-de-Varax;88.1;
01384;Saint-Rambert-en-Bugey;54.2;
01385;Saint-Rémy;73.9;
01386;Saint-Sorlin-en-Bugey;26.7;
01387;Saint-Sulpice;N/A - division par 0;
01388;Saint-Trivier-de-Courtes;108.6;
01389;Saint-Trivier-sur-Moignans;85.6;
01390;Saint-Vulbas;120.2;
01391;Salavre;13.3;
01392;Samognat;N/A - division par 0;
01393;Sandrans;97.5;
01396;Sault-Brénaz;N/A - division par 0;
01397;Sauverny;12.4;
01398;Savigneux;44.8;
01399;Ségny;134.8;
01400;Seillonnaz;29.6;
01401;Sergy;45.3;
01402;Sermoyer;202.5;
01403;Serrières-de-Briord;38.9;
01404;Serrières-sur-Ain;99.2;
01405;Servas;36.9;
01406;Servignat;75;
01407;Seyssel;2.6;
01408;Simandre-sur-Suran;99.9;
01410;Sonthonnax-la-Montagne;150.7;
01411;Souclin;107.4;
01412;Sulignat;87.8;
01415;Talissieu;2.7;
01416;Tenay;2.5;
01418;Thil;93.9;
01419;Thoiry;122.9;
01420;Thoissey;10.9;
01421;Torcieu;115.7;
01422;Tossiat;88.6;
01423;Toussieux;81.3;
01424;Tramoyes;53.1;
01425;La Tranclière;63;
01426;Val-Revermont;84.6;
01427;Trévoux;2.9;
01428;Valeins;65.2;
01429;Vandeins;134;
01430;Varambon;133.1;
01431;Vaux-en-Bugey;89.4;
01432;Verjon;71.7;
01433;Vernoux;91.2;
01434;Versailleux;61.8;
01435;Versonnex;69.3;
01436;Vesancy;126.7;
01437;Vescours;107.2;
01439;Vésines;N/A - division par 0;
01441;Vieu-d'Izenave;111.3;
01443;Villars-les-Dombes;59;
01444;Villebois;53.9;
01445;Villemotier;72.8;
01446;Villeneuve;79.7;
01447;Villereversure;111.2;
01448;Villes;226.9;
01449;Villette-sur-Ain;52.3;
01450;Villieu-Loyes-Mollon;76.6;
01451;Viriat;65.1;
01452;Virieu-le-Grand;N/A - division par 0;
01453;Arvière-en-Valromey;64.1;
01454;Virignin;96;
01456;Vongnes;19;
01457;Vonnas;57.6;
02001;Abbécourt;76.9;
02002;Achery;63.6;
02003;Acy;167.4;
02004;Agnicourt-et-Séchelles;156.4;
02005;Aguilcourt;126.7;
02006;Aisonville-et-Bernoville;122;
02007;Aizelles;74.4;
02008;Aizy-Jouy;171.8;
02009;Alaincourt;121.7;
02010;Allemant;379.5;
